home,away,Referee,time,HRestDay,ARestDay,HS_Acc,AS_Acc,HST_Acc,AST_Acc,H_Poss_Acc,A_Poss_Acc,H_atk_3rd_tot_Acc,A_atk_3rd_tot_Acc,H_atk_3rd_Acc,A_atk_3rd_Acc,H_interceptions_Acc,A_interceptions_Acc,H_Enemy_Acc,A_Enemy_Acc,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,H_atkPass_ratio,A_atkPass_ratio,y
Cardiff,Hull,H Webb,16123.0,7.0,4.0,47.0,69.0,16.0,21.0,224.2,238.49999999999974,532.0,638.0,335.0,381.0,65.0,97.0,138.0,127.0,-3.0,0.8333333333333334,1.0,1.0,3.0,-6.0,1.0,1.0,3.0,-1.0,0.9214334009465865,0.6296992481203008,0.5971786833855799,A
Man City,Stoke,C Foy,16123.0,3.0,9.0,102.0,56.0,30.0,21.0,306.5000000000001,221.50000000000003,897.0,502.0,674.0,276.0,52.0,52.0,151.0,120.0,24.0,2.142857142857143,3.0,1.0,1.0,7.0,1.0,2.0,2.0,-1.0,25.038090525836722,0.7513935340022296,0.549800796812749,H
Newcastle,Aston Villa,M Atkinson,16124.0,10.0,11.0,94.0,60.0,33.0,17.0,247.4,239.00000000000009,577.0,681.0,358.0,402.0,86.0,58.0,138.0,132.0,11.0,1.55,1.0,1.0,3.0,-8.0,1.0,2.0,2.0,-2.0,3.9956314892172244,0.6204506065857885,0.5903083700440529,H
Norwich,Tottenham,C Pawson,16124.0,11.0,2.0,81.0,57.0,20.0,20.0,236.80000000000004,236.0,655.0,637.0,422.0,433.0,47.0,105.0,138.0,157.0,-19.0,0.5,1.0,2.0,2.0,-2.0,3.0,1.0,1.0,3.0,-24.770684864334747,0.6442748091603053,0.6797488226059655,H
Liverpool,Swansea,M Jones,16124.0,6.0,2.0,89.0,77.0,37.0,19.0,256.80000000000007,309.4000000000001,671.0,711.0,452.0,510.0,55.0,65.0,143.0,103.0,19.0,1.8636363636363635,3.0,2.0,0.0,9.0,2.0,1.0,2.0,1.0,28.457926134627044,0.6736214605067065,0.7172995780590717,H
Stoke,Arsenal,M Jones,16130.0,7.0,7.0,46.0,58.0,21.0,30.0,191.1,299.9,455.0,1036.0,240.0,813.0,57.0,66.0,147.0,141.0,-23.0,0.4772727272727273,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,1.0,-19.23341066855328,0.5274725274725275,0.7847490347490348,H
Southampton,Liverpool,L Probert,16130.0,7.0,6.0,88.0,96.0,27.0,41.0,304.89999999999986,254.40000000000006,776.0,681.0,533.0,464.0,80.0,65.0,125.0,144.0,-15.0,0.6341463414634146,2.0,2.0,1.0,2.0,4.0,1.0,0.0,10.0,-22.711036617493974,0.6868556701030928,0.6813509544787077,A
Everton,West Ham,J Moss,16130.0,7.0,7.0,63.0,44.0,19.0,19.0,289.69999999999993,174.50000000000026,868.0,530.0,621.0,271.0,49.0,38.0,163.0,137.0,10.0,1.4166666666666667,1.0,1.0,3.0,-5.0,4.0,1.0,0.0,8.0,-14.513149343259549,0.7154377880184332,0.5113207547169811,H
Fulham,Chelsea,M Clattenburg,16130.0,7.0,2.0,46.0,115.0,17.0,35.0,169.49999999999991,272.5999999999999,416.0,805.0,188.0,598.0,69.0,56.0,138.0,145.0,-32.0,0.3191489361702128,0.0,2.0,3.0,-6.0,3.0,2.0,0.0,5.0,-42.554022161561576,0.4519230769230769,0.7428571428571429,A
Hull,Newcastle,K Friend,16130.0,4.0,6.0,71.0,98.0,27.0,29.0,238.4999999999998,250.39999999999995,655.0,616.0,395.0,381.0,87.0,101.0,122.0,142.0,-11.0,0.6451612903225806,2.0,1.0,2.0,4.0,1.0,1.0,3.0,-9.0,-1.5894917201333385,0.6030534351145038,0.6185064935064936,A
Aston Villa,Norwich,A Taylor,16131.0,7.0,6.0,58.0,69.0,16.0,19.0,240.10000000000008,221.50000000000009,653.0,592.0,389.0,378.0,70.0,48.0,123.0,152.0,-3.0,0.8636363636363636,1.0,1.0,3.0,-3.0,1.0,2.0,2.0,-2.0,-9.66487875144958,0.5957120980091883,0.6385135135135135,H
Swansea,Crystal Palace,M Dean,16131.0,2.0,7.0,78.0,60.0,21.0,23.0,299.8000000000001,175.69999999999973,664.0,519.0,473.0,303.0,73.0,104.0,106.0,144.0,-2.0,0.9166666666666666,2.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,-8.671386842702358,0.7123493975903614,0.5838150289017341,D
Tottenham,Cardiff,P Dowd,16131.0,2.0,8.0,55.0,63.0,17.0,15.0,251.3,242.6,670.0,651.0,460.0,435.0,86.0,67.0,154.0,111.0,23.0,2.533333333333333,2.0,1.0,2.0,0.0,1.0,1.0,3.0,-8.0,21.94051673300899,0.6865671641791045,0.6682027649769585,H
Cardiff,Fulham,M Atkinson,16137.0,5.0,7.0,64.0,38.0,16.0,16.0,228.4,173.29999999999993,651.0,464.0,427.0,203.0,67.0,70.0,115.0,163.0,3.0,1.25,1.0,1.0,3.0,-7.0,0.0,2.0,3.0,-6.0,3.2163056293618055,0.6559139784946236,0.4375,H
Crystal Palace,Southampton,H Webb,16137.0,5.0,6.0,55.0,88.0,21.0,24.0,163.29999999999978,309.5999999999999,527.0,749.0,302.0,502.0,111.0,76.0,143.0,117.0,0.0,1.0,2.0,1.0,2.0,-1.0,2.0,1.0,2.0,-1.0,4.70259959343408,0.573055028462998,0.6702269692923899,A
Norwich,Stoke,A Marriner,16137.0,5.0,7.0,67.0,40.0,21.0,20.0,220.20000000000007,182.2,641.0,453.0,418.0,223.0,57.0,68.0,135.0,173.0,-1.0,0.9565217391304348,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,1.0,-17.675151113076808,0.6521060842433697,0.4922737306843267,D
West Brom,Man United,J Moss,16137.0,14.0,10.0,68.0,87.0,20.0,25.0,275.49999999999994,293.00000000000017,752.0,888.0,493.0,668.0,107.0,75.0,140.0,112.0,-19.0,0.4722222222222222,0.0,3.0,2.0,-3.0,2.0,2.0,1.0,3.0,-18.551984238671544,0.6555851063829787,0.7522522522522522,A
Chelsea,Tottenham,M Oliver,16137.0,7.0,5.0,93.0,66.0,34.0,21.0,258.29999999999995,277.5,668.0,780.0,459.0,558.0,60.0,77.0,145.0,121.0,9.0,1.236842105263158,4.0,1.0,0.0,7.0,3.0,1.0,1.0,5.0,16.321346160371917,0.687125748502994,0.7153846153846154,H
Swansea,West Brom,M Atkinson,16144.0,12.0,7.0,71.0,70.0,19.0,19.0,306.60000000000014,264.2,626.0,765.0,443.0,506.0,70.0,98.0,113.0,154.0,4.0,1.25,1.0,2.0,2.0,0.0,0.0,3.0,2.0,-5.0,2.0956722460252593,0.707667731629393,0.661437908496732,A
Sunderland,Crystal Palace,N Swarbrick,16144.0,6.0,7.0,56.0,48.0,22.0,19.0,212.29999999999995,161.49999999999974,516.0,528.0,336.0,290.0,55.0,107.0,140.0,147.0,-1.0,0.96,2.0,1.0,2.0,-1.0,1.0,1.0,3.0,-3.0,5.88407632556569,0.6511627906976745,0.5492424242424242,D
Stoke,West Ham,C Pawson,16144.0,7.0,14.0,33.0,49.0,17.0,19.0,192.1,178.00000000000026,467.0,552.0,235.0,292.0,66.0,38.0,158.0,127.0,0.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,7.0,-4.418061778487136,0.5032119914346895,0.5289855072463768,H
Southampton,Norwich,K Friend,16144.0,7.0,7.0,82.0,53.0,22.0,20.0,312.99999999999994,221.80000000000007,770.0,640.0,516.0,405.0,64.0,55.0,125.0,143.0,3.0,1.1363636363636365,2.0,1.0,2.0,-3.0,1.0,2.0,2.0,-4.0,0.5908695643533335,0.6701298701298701,0.6328125,H
Everton,Cardiff,R East,16144.0,7.0,7.0,72.0,69.0,18.0,20.0,308.7,225.6,921.0,641.0,685.0,406.0,50.0,71.0,165.0,106.0,20.0,2.176470588235294,2.0,0.0,3.0,-4.0,1.0,1.0,3.0,-6.0,17.47943380039586,0.743756786102063,0.6333853354134166,H
Fulham,Newcastle,H Webb,16144.0,7.0,14.0,44.0,93.0,18.0,33.0,187.79999999999993,247.59999999999997,497.0,641.0,255.0,403.0,61.0,89.0,149.0,139.0,-21.0,0.36363636363636365,0.0,2.0,3.0,-5.0,2.0,0.0,3.0,-6.0,-16.928117394739008,0.5130784708249497,0.6287051482059283,H
Aston Villa,Chelsea,C Foy,16144.0,12.0,6.0,58.0,87.0,14.0,32.0,252.10000000000005,277.2,680.0,676.0,419.0,457.0,68.0,56.0,123.0,135.0,-25.0,0.46808510638297873,1.0,1.0,3.0,-1.0,4.0,1.0,0.0,10.0,-36.8583986288489,0.6161764705882353,0.6760355029585798,H
Hull,Man City,L Mason,16144.0,6.0,2.0,71.0,107.0,26.0,31.0,224.3999999999998,335.0000000000001,607.0,1065.0,344.0,834.0,92.0,54.0,132.0,138.0,-28.0,0.4166666666666667,2.0,1.0,2.0,2.0,3.0,1.0,1.0,6.0,-26.58555033055365,0.5667215815485996,0.7830985915492957,A
Tottenham,Arsenal,M Dean,16145.0,2.0,4.0,53.0,61.0,20.0,28.0,262.4,309.2,703.0,1063.0,503.0,838.0,75.0,60.0,147.0,134.0,-6.0,0.8536585365853658,3.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,-1.1785799120625526,0.7155049786628734,0.7883349012229539,A
Man United,Liverpool,M Clattenburg,16145.0,8.0,14.0,84.0,88.0,25.0,37.0,301.8000000000002,258.00000000000006,865.0,670.0,650.0,443.0,74.0,64.0,113.0,129.0,-5.0,0.8837209302325582,2.0,2.0,1.0,4.0,4.0,1.0,0.0,9.0,-15.430585250788383,0.7514450867052023,0.6611940298507463,A
Hull,West Brom,C Foy,16151.0,7.0,7.0,77.0,71.0,27.0,19.0,240.5999999999998,252.49999999999997,642.0,773.0,381.0,510.0,94.0,91.0,142.0,136.0,1.0,1.0526315789473684,2.0,0.0,3.0,0.0,1.0,2.0,2.0,-4.0,-1.09348663650227,0.5934579439252337,0.6597671410090556,H
Cardiff,Liverpool,N Swarbrick,16151.0,7.0,6.0,72.0,93.0,22.0,41.0,219.90000000000003,259.20000000000005,605.0,703.0,382.0,489.0,71.0,56.0,122.0,145.0,-29.0,0.32558139534883723,1.0,1.0,3.0,-4.0,5.0,0.0,0.0,12.0,-41.4862579250981,0.631404958677686,0.6955903271692745,A
Everton,Swansea,M Oliver,16151.0,7.0,7.0,73.0,66.0,20.0,23.0,315.5,303.60000000000014,896.0,581.0,674.0,395.0,56.0,87.0,144.0,113.0,18.0,1.9473684210526316,3.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,18.563884601908505,0.7522321428571429,0.6798623063683304,H
Chelsea,Arsenal,A Marriner,16151.0,3.0,5.0,84.0,57.0,26.0,25.0,279.6,277.2,718.0,906.0,486.0,688.0,52.0,80.0,126.0,148.0,6.0,1.146341463414634,3.0,1.0,1.0,6.0,2.0,1.0,2.0,-1.0,10.66536999312926,0.6768802228412256,0.7593818984547461,H
Man City,Fulham,J Moss,16151.0,7.0,7.0,91.0,50.0,25.0,18.0,318.10000000000014,202.09999999999994,1001.0,555.0,767.0,302.0,57.0,68.0,139.0,148.0,33.0,3.2,3.0,1.0,1.0,6.0,1.0,1.0,3.0,-4.0,30.550430485446057,0.7662337662337663,0.5441441441441441,H
West Ham,Man United,L Mason,16151.0,7.0,2.0,46.0,78.0,17.0,22.0,188.30000000000027,288.00000000000017,556.0,847.0,282.0,640.0,42.0,83.0,129.0,139.0,-12.0,0.6571428571428571,3.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,-8.676358217705687,0.5071942446043165,0.755608028335301,A
Newcastle,Crystal Palace,L Probert,16151.0,7.0,7.0,77.0,50.0,26.0,22.0,257.7,169.99999999999974,648.0,549.0,389.0,300.0,82.0,104.0,130.0,124.0,7.0,1.2692307692307692,2.0,0.0,3.0,-4.0,1.0,2.0,2.0,-1.0,-1.960612805176968,0.6003086419753086,0.546448087431694,H
Norwich,Sunderland,P Dowd,16151.0,7.0,7.0,52.0,65.0,21.0,19.0,226.30000000000007,240.29999999999995,648.0,564.0,394.0,369.0,55.0,47.0,121.0,137.0,-3.0,0.88,1.0,1.0,3.0,-6.0,2.0,1.0,2.0,-1.0,-9.300372522214623,0.6080246913580247,0.6542553191489362,H
Aston Villa,Stoke,M Clattenburg,16152.0,7.0,8.0,67.0,45.0,17.0,22.0,262.00000000000006,207.2,708.0,483.0,450.0,262.0,69.0,66.0,130.0,151.0,-1.0,0.9615384615384616,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,-6.338884170134634,0.635593220338983,0.5424430641821946,A
Tottenham,Southampton,A Taylor,16152.0,2.0,8.0,62.0,81.0,20.0,23.0,275.6,315.7,757.0,758.0,535.0,520.0,64.0,69.0,148.0,128.0,7.0,1.2592592592592593,2.0,0.0,3.0,-1.0,3.0,0.0,2.0,-1.0,-2.503938433713799,0.7067371202113606,0.6860158311345647,H
Newcastle,Everton,L Mason,16154.0,3.0,3.0,86.0,69.0,28.0,20.0,289.39999999999986,284.9,734.0,802.0,466.0,590.0,74.0,60.0,109.0,138.0,-4.0,0.8918918918918919,3.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,-7.940259744511021,0.6348773841961853,0.7356608478802993,A
Arsenal,Swansea,L Probert,16154.0,3.0,3.0,58.0,70.0,24.0,24.0,267.0,300.9000000000001,825.0,615.0,623.0,432.0,80.0,114.0,157.0,133.0,19.0,2.0,2.0,1.0,2.0,-3.0,0.0,2.0,3.0,-3.0,20.024986901997806,0.7551515151515151,0.7024390243902439,D
Man United,Man City,M Oliver,16154.0,2.0,3.0,63.0,89.0,20.0,27.0,267.80000000000007,319.9000000000001,704.0,1043.0,499.0,801.0,86.0,57.0,146.0,116.0,-13.0,0.7291666666666666,3.0,1.0,1.0,4.0,3.0,1.0,1.0,7.0,-9.767505933370614,0.7088068181818182,0.7679769894534996,A
Liverpool,Sunderland,K Friend,16155.0,4.0,4.0,90.0,59.0,38.0,15.0,283.1,238.39999999999995,815.0,577.0,596.0,371.0,58.0,52.0,112.0,139.0,21.0,1.84,5.0,0.0,0.0,11.0,1.0,1.0,3.0,-4.0,32.03714306585833,0.7312883435582822,0.6429809358752167,H
West Ham,Hull,M Dean,16155.0,3.0,4.0,46.0,64.0,16.0,23.0,200.90000000000026,227.59999999999974,603.0,566.0,321.0,320.0,50.0,106.0,139.0,137.0,2.0,1.1,2.0,0.0,3.0,-1.0,2.0,0.0,3.0,0.0,1.6866791766762326,0.5323383084577115,0.5653710247349824,H
Southampton,Newcastle,A Marriner,16158.0,6.0,3.0,77.0,89.0,20.0,26.0,302.1,294.7999999999999,695.0,770.0,474.0,520.0,75.0,66.0,141.0,110.0,-6.0,0.8,2.0,0.0,3.0,-3.0,3.0,0.0,2.0,1.0,-3.578720395462888,0.6820143884892086,0.6753246753246753,H
Crystal Palace,Chelsea,L Mason,16158.0,7.0,7.0,48.0,90.0,17.0,33.0,163.29999999999978,272.6,592.0,672.0,344.0,446.0,97.0,50.0,135.0,148.0,-23.0,0.5306122448979592,0.0,2.0,3.0,-4.0,4.0,0.0,1.0,12.0,-30.43958091553837,0.581081081081081,0.6636904761904762,H
Arsenal,Man City,M Dean,16158.0,3.0,3.0,54.0,77.0,23.0,28.0,270.1,301.7000000000001,889.0,1071.0,683.0,822.0,82.0,72.0,141.0,107.0,-12.0,0.7647058823529411,2.0,1.0,2.0,-3.0,4.0,1.0,0.0,11.0,-22.34928274890652,0.7682789651293588,0.7675070028011205,D
West Brom,Cardiff,M Oliver,16158.0,7.0,7.0,72.0,69.0,17.0,22.0,243.29999999999995,207.90000000000003,777.0,589.0,506.0,382.0,88.0,75.0,135.0,143.0,2.0,1.1428571428571428,1.0,2.0,2.0,-4.0,1.0,0.0,4.0,-7.0,8.596350634600327,0.6512226512226512,0.6485568760611206,D
Swansea,Norwich,J Moss,16158.0,3.0,7.0,65.0,53.0,23.0,23.0,276.10000000000014,228.60000000000008,575.0,665.0,406.0,416.0,122.0,59.0,151.0,125.0,-3.0,0.8636363636363636,0.0,2.0,3.0,-3.0,2.0,1.0,2.0,-2.0,-11.15024879121157,0.7060869565217391,0.6255639097744361,H
Man United,Aston Villa,M Atkinson,16158.0,3.0,5.0,67.0,63.0,22.0,19.0,278.1000000000001,244.60000000000005,705.0,671.0,526.0,434.0,85.0,69.0,150.0,138.0,8.0,1.3333333333333333,3.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.714029310636189,0.7460992907801418,0.646795827123696,H
Stoke,Hull,N Swarbrick,16158.0,5.0,2.0,48.0,62.0,23.0,22.0,221.1,246.4999999999998,492.0,592.0,277.0,354.0,60.0,85.0,155.0,130.0,8.0,1.4,3.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,20.28960800770058,0.5630081300813008,0.597972972972973,H
Liverpool,Tottenham,P Dowd,16159.0,3.0,7.0,90.0,62.0,38.0,18.0,275.30000000000007,276.0,812.0,749.0,611.0,508.0,66.0,57.0,120.0,144.0,9.0,1.2432432432432432,5.0,0.0,0.0,11.0,2.0,0.0,3.0,-4.0,25.190480938461555,0.7524630541871922,0.678237650200267,H
Fulham,Everton,A Taylor,16159.0,8.0,4.0,46.0,66.0,15.0,23.0,203.39999999999992,276.0,527.0,727.0,305.0,527.0,70.0,56.0,155.0,135.0,-24.0,0.38461538461538464,1.0,1.0,3.0,-8.0,4.0,0.0,1.0,5.0,-24.395486334269187,0.5787476280834914,0.7248968363136176,A
Sunderland,West Ham,H Webb,16160.0,4.0,4.0,55.0,43.0,14.0,12.0,228.29999999999995,196.30000000000027,595.0,566.0,380.0,322.0,52.0,52.0,151.0,137.0,-3.0,0.88,0.0,1.0,4.0,-8.0,2.0,0.0,3.0,-2.0,-11.403913264910711,0.6386554621848739,0.568904593639576,A
Chelsea,Stoke,L Probert,16165.0,2.0,7.0,86.0,56.0,27.0,24.0,292.99999999999994,251.1,702.0,560.0,455.0,328.0,46.0,62.0,137.0,130.0,18.0,1.6428571428571428,3.0,0.0,2.0,10.0,4.0,1.0,0.0,7.0,-3.3326456152543145,0.6481481481481481,0.5857142857142857,H
Cardiff,Crystal Palace,P Dowd,16165.0,7.0,7.0,57.0,47.0,22.0,15.0,210.00000000000003,162.79999999999978,525.0,520.0,313.0,305.0,74.0,107.0,141.0,148.0,-14.0,0.5,1.0,1.0,3.0,-3.0,1.0,2.0,2.0,-1.0,-16.16335240475999,0.5961904761904762,0.5865384615384616,A
Aston Villa,Fulham,M Oliver,16165.0,7.0,6.0,55.0,62.0,14.0,20.0,234.10000000000005,204.99999999999997,644.0,551.0,414.0,341.0,58.0,61.0,153.0,177.0,6.0,1.4,2.0,0.0,3.0,-3.0,1.0,0.0,4.0,-10.0,6.011468826390892,0.6428571428571429,0.6188747731397459,A
Norwich,West Brom,M Clattenburg,16165.0,7.0,7.0,48.0,76.0,24.0,22.0,229.00000000000009,244.89999999999992,658.0,810.0,405.0,523.0,67.0,82.0,106.0,102.0,6.0,1.375,1.0,1.0,3.0,-6.0,1.0,2.0,2.0,-4.0,-0.4911562998405081,0.6155015197568389,0.645679012345679,A
Newcastle,Man United,K Friend,16165.0,7.0,3.0,71.0,62.0,23.0,23.0,287.5999999999999,267.50000000000006,713.0,667.0,481.0,490.0,54.0,74.0,114.0,150.0,-7.0,0.7941176470588235,2.0,0.0,3.0,-4.0,3.0,0.0,2.0,2.0,-18.17598788846913,0.6746143057503506,0.7346326836581709,A
Man City,Southampton,C Foy,16165.0,6.0,7.0,77.0,75.0,30.0,26.0,286.30000000000007,286.1,1016.0,690.0,763.0,467.0,79.0,77.0,125.0,147.0,22.0,1.8148148148148149,4.0,1.0,0.0,11.0,3.0,0.0,2.0,3.0,23.43449784791966,0.7509842519685039,0.6768115942028986,H
Hull,Swansea,H Webb,16165.0,7.0,7.0,55.0,67.0,19.0,25.0,246.7999999999998,288.2000000000001,611.0,625.0,369.0,459.0,84.0,119.0,143.0,132.0,1.0,1.0526315789473684,1.0,0.0,4.0,-5.0,1.0,2.0,2.0,1.0,-5.479666501992476,0.6039279869067103,0.7344,H
Everton,Arsenal,M Atkinson,16166.0,7.0,7.0,72.0,52.0,28.0,17.0,284.4000000000001,253.1,714.0,790.0,512.0,581.0,55.0,81.0,103.0,168.0,4.0,1.1081081081081081,5.0,0.0,0.0,8.0,1.0,2.0,2.0,-6.0,17.4001554521259,0.7170868347338936,0.7354430379746836,H
West Ham,Liverpool,A Taylor,16166.0,5.0,7.0,44.0,80.0,13.0,33.0,204.10000000000028,280.50000000000006,568.0,800.0,328.0,600.0,47.0,60.0,130.0,135.0,-20.0,0.5833333333333334,2.0,0.0,3.0,-3.0,5.0,0.0,0.0,14.0,-31.29562716498337,0.5774647887323944,0.75,A
Tottenham,Sunderland,L Mason,16167.0,8.0,6.0,68.0,74.0,20.0,18.0,258.29999999999995,245.2,708.0,655.0,476.0,429.0,59.0,42.0,171.0,155.0,15.0,1.6818181818181819,2.0,0.0,3.0,-7.0,0.0,1.0,4.0,-7.0,19.519157203900328,0.672316384180791,0.6549618320610687,H
Stoke,Newcastle,M Jones,16172.0,6.0,7.0,52.0,68.0,22.0,20.0,256.6,279.5999999999999,526.0,679.0,319.0,458.0,54.0,64.0,132.0,128.0,4.0,1.1666666666666667,3.0,1.0,1.0,3.0,1.0,0.0,4.0,-11.0,25.852299563297002,0.6064638783269962,0.6745213549337261,H
Fulham,Norwich,M Dean,16172.0,7.0,7.0,71.0,53.0,25.0,24.0,212.99999999999997,253.50000000000009,581.0,691.0,374.0,433.0,57.0,54.0,151.0,103.0,-1.0,0.9473684210526315,2.0,0.0,3.0,-7.0,1.0,1.0,3.0,-4.0,12.742792602134706,0.6437177280550774,0.6266280752532561,H
Southampton,Cardiff,J Moss,16172.0,7.0,7.0,67.0,62.0,25.0,24.0,285.19999999999993,233.5,683.0,564.0,468.0,337.0,76.0,72.0,155.0,131.0,13.0,1.9285714285714286,3.0,0.0,2.0,3.0,1.0,1.0,3.0,-5.0,18.666851255901484,0.6852122986822841,0.5975177304964538,A
Crystal Palace,Aston Villa,H Webb,16172.0,7.0,7.0,53.0,57.0,19.0,18.0,168.39999999999978,238.90000000000006,510.0,644.0,307.0,417.0,117.0,47.0,140.0,137.0,8.0,1.4,2.0,1.0,2.0,2.0,2.0,0.0,3.0,-3.0,10.202050055207941,0.6019607843137255,0.6475155279503105,H
Sunderland,Everton,L Probert,16172.0,4.0,6.0,75.0,64.0,19.0,33.0,249.1,258.3,634.0,650.0,408.0,449.0,54.0,62.0,150.0,116.0,-24.0,0.4418604651162791,0.0,1.0,4.0,-8.0,5.0,0.0,0.0,10.0,-41.877400630428205,0.6435331230283912,0.6907692307692308,A
West Brom,Tottenham,N Swarbrick,16172.0,7.0,4.0,68.0,82.0,22.0,25.0,212.69999999999993,258.79999999999995,721.0,698.0,449.0,474.0,83.0,60.0,107.0,178.0,-21.0,0.46153846153846156,2.0,1.0,2.0,-3.0,2.0,0.0,3.0,-4.0,-13.283252388716338,0.6227461858529819,0.6790830945558739,D
Liverpool,Man City,M Clattenburg,16173.0,7.0,8.0,85.0,73.0,36.0,31.0,301.60000000000014,255.80000000000007,860.0,875.0,656.0,629.0,56.0,81.0,137.0,131.0,-1.0,0.9807692307692307,5.0,0.0,0.0,12.0,4.0,1.0,0.0,13.0,1.6286181307710095,0.7627906976744186,0.7188571428571429,H
Swansea,Chelsea,P Dowd,16173.0,8.0,4.0,72.0,87.0,22.0,27.0,276.4000000000001,286.0999999999999,617.0,755.0,442.0,511.0,115.0,52.0,128.0,150.0,-27.0,0.41304347826086957,1.0,1.0,3.0,0.0,3.0,0.0,2.0,11.0,-24.472559415088266,0.7163695299837926,0.6768211920529801,A
Arsenal,West Ham,K Friend,16175.0,2.0,9.0,57.0,49.0,20.0,13.0,253.6,209.20000000000027,809.0,596.0,606.0,347.0,84.0,49.0,188.0,144.0,9.0,1.36,1.0,2.0,2.0,-8.0,2.0,0.0,3.0,-3.0,9.398485411837775,0.7490729295426453,0.5822147651006712,H
Man City,Sunderland,M Atkinson,16176.0,3.0,4.0,78.0,80.0,33.0,23.0,264.00000000000006,231.29999999999995,921.0,615.0,680.0,400.0,84.0,64.0,162.0,168.0,30.0,2.5789473684210527,3.0,1.0,1.0,10.0,0.0,0.0,5.0,-9.0,43.272834448263204,0.738327904451683,0.6504065040650406,D
Everton,Crystal Palace,A Marriner,16176.0,4.0,4.0,65.0,61.0,30.0,22.0,243.90000000000003,175.29999999999978,583.0,528.0,380.0,340.0,52.0,123.0,118.0,135.0,12.0,1.3870967741935485,5.0,0.0,0.0,10.0,3.0,1.0,1.0,4.0,13.509893905515014,0.6518010291595198,0.6439393939393939,A
Newcastle,Swansea,C Foy,16179.0,7.0,6.0,69.0,64.0,18.0,22.0,270.0999999999999,251.70000000000007,656.0,562.0,449.0,391.0,66.0,106.0,144.0,158.0,8.0,1.5,1.0,0.0,4.0,-11.0,1.0,1.0,3.0,0.0,-0.8598340598475112,0.6844512195121951,0.6957295373665481,A
Chelsea,Sunderland,M Dean,16179.0,6.0,2.0,101.0,81.0,26.0,24.0,295.1999999999999,228.2,885.0,582.0,647.0,394.0,56.0,63.0,131.0,195.0,27.0,2.4210526315789473,3.0,0.0,2.0,8.0,0.0,1.0,4.0,-7.0,25.4201541982833,0.7310734463276836,0.6769759450171822,A
Tottenham,Fulham,L Probert,16179.0,7.0,7.0,96.0,71.0,31.0,22.0,280.99999999999994,204.7,783.0,577.0,533.0,358.0,62.0,60.0,149.0,155.0,16.0,1.7619047619047619,2.0,1.0,2.0,0.0,3.0,0.0,2.0,-4.0,2.128335585661233,0.6807151979565773,0.6204506065857885,H
Aston Villa,Southampton,L Mason,16179.0,7.0,7.0,54.0,75.0,18.0,29.0,240.60000000000008,289.0999999999999,639.0,774.0,409.0,557.0,44.0,76.0,143.0,144.0,-8.0,0.7037037037037037,1.0,0.0,4.0,-7.0,2.0,0.0,3.0,1.0,-9.637253167001067,0.6400625978090767,0.7196382428940569,D
West Ham,Crystal Palace,M Atkinson,16179.0,3.0,2.0,53.0,56.0,13.0,21.0,202.70000000000027,169.5999999999998,579.0,545.0,345.0,359.0,49.0,123.0,154.0,154.0,-6.0,0.8064516129032258,2.0,0.0,3.0,-3.0,4.0,0.0,1.0,5.0,-17.65439545274459,0.5958549222797928,0.6587155963302752,A
Cardiff,Stoke,H Webb,16179.0,7.0,7.0,49.0,56.0,19.0,22.0,218.9,257.4,504.0,573.0,288.0,358.0,73.0,55.0,146.0,134.0,-14.0,0.5333333333333333,1.0,1.0,3.0,-6.0,4.0,0.0,1.0,4.0,-19.699365278232825,0.5714285714285714,0.62478184991274,D
Hull,Arsenal,J Moss,16180.0,7.0,4.0,50.0,64.0,20.0,25.0,241.49999999999986,273.8,643.0,909.0,395.0,697.0,95.0,68.0,131.0,178.0,-14.0,0.5882352941176471,2.0,0.0,3.0,-1.0,1.0,2.0,2.0,-7.0,-13.10936618099688,0.614307931570762,0.7667766776677668,A
Norwich,Liverpool,A Marriner,16180.0,8.0,7.0,53.0,78.0,22.0,33.0,255.80000000000007,296.60000000000014,683.0,834.0,440.0,629.0,67.0,61.0,98.0,151.0,-32.0,0.37254901960784315,1.0,0.0,4.0,-5.0,5.0,0.0,0.0,10.0,-51.825305944429914,0.6442166910688141,0.7541966426858513,A
Everton,Man United,M Clattenburg,16180.0,3.0,10.0,73.0,56.0,29.0,22.0,273.40000000000003,268.90000000000003,702.0,651.0,491.0,470.0,56.0,72.0,130.0,160.0,4.0,1.1111111111111112,4.0,0.0,1.0,8.0,3.0,0.0,2.0,3.0,5.936011253553389,0.6994301994301995,0.7219662058371735,H
