home,away,Referee,time,HRestTime,ARestTime,HAccS,AAccS,HAccST,AAccST,HAccP - AAccP,H/A,HWin,HDraw,HLose,H goal Diff,AWin,ADraw,ALose,A goal diff,moraldiff + h-a,y
Newcastle,Wigan,M Jones,15677.0,4.0,4.0,66.0,58.0,31.0,28.0,0.0,1.0,0.0,1.0,4.0,-5.0,2.0,0.0,3.0,-4.0,-12.139310692072835,H
Arsenal,West Brom,M Jones,15682.0,3.0,7.0,63.0,46.0,42.0,29.0,-5.0,0.84375,1.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,-2.2491056166056183,H
Aston Villa,Stoke,R East,15682.0,7.0,7.0,52.0,51.0,33.0,23.0,-8.0,0.7142857142857143,1.0,2.0,2.0,-5.0,4.0,1.0,0.0,4.0,-19.676812076812084,D
Southampton,Reading,J Moss,15682.0,7.0,6.0,65.0,56.0,36.0,30.0,2.0,1.125,2.0,2.0,1.0,3.0,1.0,1.0,3.0,-2.0,9.720010544263474,H
Sunderland,Chelsea,M Halsey,15682.0,5.0,2.0,66.0,69.0,39.0,38.0,-12.0,0.625,1.0,1.0,3.0,-2.0,0.0,3.0,2.0,-3.0,-9.868053227675993,A
Wigan,QPR,P Dowd,15682.0,4.0,7.0,60.0,70.0,28.0,42.0,8.0,1.6666666666666667,1.0,0.0,4.0,-8.0,0.0,2.0,3.0,-5.0,3.562103662103665,D
Swansea,Norwich,H Webb,15682.0,7.0,5.0,62.0,44.0,38.0,22.0,4.0,1.16,3.0,2.0,0.0,5.0,2.0,3.0,0.0,2.0,5.012394755003445,A
West Ham,Liverpool,L Probert,15683.0,8.0,2.0,61.0,90.0,38.0,50.0,3.0,1.12,2.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,-0.24191607400989312,A
Man City,Man United,M Atkinson,15683.0,4.0,3.0,72.0,76.0,35.0,44.0,-3.0,0.9285714285714286,3.0,2.0,0.0,8.0,4.0,0.0,1.0,4.0,3.6748076840182122,A
Everton,Tottenham,K Friend,15683.0,8.0,2.0,73.0,61.0,45.0,32.0,-3.0,0.90625,1.0,3.0,1.0,0.0,3.0,0.0,2.0,2.0,-5.482028012555396,H
Fulham,Newcastle,L Mason,15684.0,9.0,3.0,51.0,72.0,32.0,36.0,0.0,1.0,0.0,2.0,3.0,-6.0,1.0,0.0,4.0,-2.0,2.4897827875449323,H
Sunderland,Reading,N Swarbrick,15685.0,3.0,3.0,74.0,55.0,45.0,29.0,4.0,1.2666666666666666,1.0,1.0,3.0,-3.0,1.0,0.0,4.0,-3.0,6.292347156253797,H
Stoke,Everton,M Halsey,15689.0,7.0,6.0,42.0,74.0,18.0,46.0,-3.0,0.9032258064516129,3.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,7.834120747406757,D
Liverpool,Aston Villa,N Swarbrick,15689.0,5.0,3.0,97.0,51.0,53.0,31.0,7.0,1.35,3.0,1.0,1.0,4.0,1.0,3.0,1.0,-4.0,9.245151201455556,A
QPR,Fulham,M Atkinson,15689.0,7.0,4.0,61.0,58.0,38.0,34.0,-13.0,0.48,0.0,3.0,2.0,-4.0,1.0,1.0,3.0,-5.0,-6.4659090909090935,H
Newcastle,Man City,A Marriner,15689.0,4.0,6.0,78.0,72.0,40.0,38.0,-16.0,0.5789473684210527,1.0,0.0,4.0,-2.0,2.0,2.0,1.0,6.0,-28.20138087414302,A
Man United,Sunderland,C Foy,15689.0,6.0,3.0,68.0,78.0,40.0,47.0,23.0,2.0952380952380953,4.0,0.0,1.0,4.0,1.0,1.0,3.0,-2.0,28.726693091424217,H
Norwich,Wigan,L Probert,15689.0,3.0,7.0,44.0,60.0,27.0,31.0,7.0,1.35,3.0,2.0,0.0,3.0,1.0,1.0,3.0,-7.0,24.789221389656177,H
Tottenham,Swansea,M Dean,15690.0,7.0,3.0,63.0,78.0,36.0,45.0,3.0,1.1071428571428572,3.0,0.0,2.0,2.0,3.0,1.0,1.0,4.0,-3.02507753449283,H
West Brom,West Ham,P Dowd,15690.0,8.0,6.0,46.0,60.0,27.0,39.0,4.0,1.1481481481481481,2.0,0.0,3.0,-2.0,1.0,1.0,3.0,-2.0,2.1481937214831923,D
Reading,Arsenal,A Taylor,15691.0,5.0,5.0,55.0,64.0,30.0,40.0,-15.0,0.4827586206896552,0.0,0.0,5.0,-7.0,2.0,2.0,1.0,3.0,-32.39848820769873,A
Tottenham,Stoke,L Mason,15696.0,6.0,7.0,81.0,44.0,48.0,20.0,5.0,1.1785714285714286,4.0,0.0,1.0,6.0,3.0,2.0,0.0,3.0,0.8133186057546347,D
West Brom,Norwich,M Atkinson,15696.0,5.0,7.0,57.0,50.0,31.0,32.0,2.0,1.0689655172413792,1.0,1.0,3.0,-3.0,3.0,2.0,0.0,3.0,-17.038089300056345,H
Wigan,Arsenal,J Moss,15696.0,7.0,4.0,63.0,76.0,34.0,47.0,-12.0,0.6129032258064516,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,3.0,-19.127297741090842,A
West Ham,Everton,A Taylor,15696.0,5.0,7.0,54.0,62.0,30.0,40.0,-4.0,0.8709677419354839,1.0,1.0,3.0,-2.0,1.0,4.0,0.0,1.0,-15.083526632197078,A
Southampton,Sunderland,H Webb,15696.0,14.0,7.0,72.0,72.0,40.0,45.0,0.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,-2.0,11.363854634843335,A
Newcastle,QPR,K Friend,15696.0,7.0,7.0,68.0,67.0,38.0,40.0,7.0,1.5,1.0,0.0,4.0,-3.0,1.0,3.0,1.0,-1.0,-11.795665634674915,H
Man City,Reading,M Dean,15696.0,7.0,4.0,67.0,46.0,40.0,25.0,27.0,3.076923076923077,2.0,2.0,1.0,3.0,0.0,0.0,5.0,-9.0,40.12875682018151,H
Liverpool,Fulham,M Clattenburg,15696.0,7.0,7.0,101.0,46.0,59.0,24.0,2.0,1.0833333333333333,2.0,1.0,2.0,-1.0,1.0,1.0,3.0,-4.0,9.94258987389422,H
Swansea,Man United,M Oliver,15697.0,7.0,8.0,67.0,71.0,36.0,37.0,-19.0,0.5869565217391305,2.0,1.0,2.0,2.0,5.0,0.0,0.0,7.0,-25.74601105647795,D
Chelsea,Aston Villa,P Dowd,15697.0,3.0,8.0,68.0,50.0,40.0,29.0,12.0,1.5454545454545454,1.0,2.0,2.0,-1.0,2.0,3.0,0.0,3.0,-2.0897630147630117,H
Everton,Wigan,L Mason,15700.0,4.0,4.0,63.0,57.0,39.0,28.0,15.0,1.8333333333333333,2.0,3.0,0.0,2.0,0.0,1.0,4.0,-7.0,32.38153437085583,H
Norwich,Chelsea,J Moss,15700.0,4.0,2.0,52.0,73.0,32.0,46.0,-8.0,0.7777777777777778,3.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0,-3.3959810107574278,A
Aston Villa,Tottenham,M Clattenburg,15700.0,2.0,4.0,47.0,77.0,25.0,49.0,-12.0,0.6363636363636364,2.0,2.0,1.0,-5.0,3.0,1.0,1.0,4.0,-10.110422482270284,A
Fulham,Southampton,M Oliver,15700.0,3.0,4.0,45.0,64.0,25.0,32.0,4.0,1.2105263157894737,1.0,1.0,3.0,-7.0,2.0,1.0,2.0,1.0,-5.50198641153346,D
QPR,West Brom,C Foy,15700.0,4.0,4.0,62.0,58.0,38.0,33.0,-20.0,0.3939393939393939,1.0,3.0,1.0,0.0,1.0,1.0,3.0,-4.0,-2.900838158257514,A
