home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Newcastle,Chelsea,H Webb,15738.0,3.0,19.0,36.0,1.0,1.0,3.0,-5.0,2.0,2.0,1.0,4.0,H
Man City,Liverpool,A Taylor,15739.0,4.0,44.0,33.0,4.0,1.0,0.0,8.0,3.0,1.0,1.0,10.0,D
West Brom,Tottenham,M Clattenburg,15739.0,3.0,27.0,37.0,0.0,1.0,4.0,-5.0,2.0,3.0,0.0,3.0,A
Stoke,Reading,M Oliver,15745.0,7.0,26.0,21.0,0.0,1.0,4.0,-10.0,3.0,1.0,1.0,1.0,H
Chelsea,Wigan,M Dean,15745.0,7.0,33.0,17.0,2.0,2.0,1.0,4.0,0.0,3.0,2.0,-5.0,H
Norwich,Fulham,H Webb,15745.0,7.0,25.0,19.0,0.0,3.0,2.0,-6.0,2.0,1.0,2.0,0.0,D
Sunderland,Arsenal,A Taylor,15745.0,7.0,22.0,32.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,A
Swansea,QPR,N Swarbrick,15745.0,7.0,27.0,15.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,H
Tottenham,Newcastle,P Dowd,15745.0,6.0,37.0,19.0,2.0,3.0,0.0,3.0,2.0,1.0,2.0,0.0,H
Southampton,Man City,M Atkinson,15745.0,7.0,21.0,44.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,7.0,H
Aston Villa,West Ham,M Clattenburg,15746.0,8.0,17.0,22.0,0.0,3.0,2.0,-2.0,1.0,1.0,3.0,-8.0,H
Man United,Everton,M Halsey,15746.0,7.0,50.0,32.0,4.0,1.0,0.0,7.0,2.0,3.0,0.0,2.0,H
Liverpool,West Brom,J Moss,15747.0,7.0,34.0,24.0,2.0,2.0,1.0,7.0,0.0,1.0,4.0,-4.0,A
Liverpool,Swansea,H Webb,15753.0,2.0,31.0,30.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,H
Norwich,Everton,L Mason,15759.0,14.0,26.0,29.0,0.0,4.0,1.0,-5.0,1.0,3.0,1.0,-1.0,H
Arsenal,Aston Villa,M Atkinson,15759.0,3.0,35.0,19.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,-1.0,H
Fulham,Stoke,L Probert,15759.0,14.0,20.0,26.0,1.0,2.0,2.0,-1.0,1.0,1.0,3.0,-6.0,H
Reading,Wigan,P Dowd,15759.0,4.0,20.0,17.0,3.0,1.0,1.0,2.0,0.0,3.0,2.0,-4.0,A
West Brom,Sunderland,R East,15759.0,11.0,26.0,22.0,1.0,1.0,3.0,-1.0,2.0,1.0,2.0,2.0,H
QPR,Man United,A Taylor,15759.0,14.0,15.0,53.0,0.0,4.0,1.0,-3.0,4.0,1.0,0.0,5.0,A
Man City,Chelsea,A Marriner,15760.0,7.0,41.0,33.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,H
Newcastle,Southampton,C Foy,15760.0,2.0,18.0,24.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,H
West Ham,Tottenham,H Webb,15761.0,15.0,19.0,37.0,1.0,1.0,3.0,-6.0,2.0,3.0,0.0,2.0,A
Stoke,West Ham,J Moss,15766.0,7.0,25.0,19.0,1.0,1.0,3.0,-3.0,1.0,0.0,4.0,-7.0,A
